"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Births
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"January"	"1"	163
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"February"	"2"	136
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"March"	"3"	139
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"April"	"4"	158
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"May"	"5"	127
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"June"	"6"	163
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"July"	"7"	162
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"August"	"8"	176
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"September"	"9"	187
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"October"	"10"	151
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"November"	"11"	151
	"Cochise County, AZ"	"04003"	"2007"	"2007"	"December"	"12"	152
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"January"	"1"	168
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"February"	"2"	134
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"March"	"3"	169
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"April"	"4"	144
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"May"	"5"	137
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"June"	"6"	138
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"July"	"7"	171
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"August"	"8"	161
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"September"	"9"	146
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"October"	"10"	140
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"November"	"11"	134
	"Cochise County, AZ"	"04003"	"2008"	"2008"	"December"	"12"	142
	"Cochise County, AZ"	"04003"	"2009"	"2009"	"January"	"1"	137
